Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
70,Manteca,San Joaquin Valley,5/1/2020,0500,122,0.00, ,0.00, ,0, ,8.3, ,48.3, ,72, ,39.7, ,2.5, ,14, ,59.8, 
70,Manteca,San Joaquin Valley,5/1/2020,0600,122,0.00, ,0.00, ,96, ,8.6, ,47.5, ,77, ,40.7, ,1.9, ,2, ,59.6, 
70,Manteca,San Joaquin Valley,5/1/2020,0700,122,0.00, ,0.00, ,376, ,9.2, ,55.6, ,61, ,42.4, ,2.3, ,341, ,59.4, 
70,Manteca,San Joaquin Valley,5/1/2020,0800,122,0.01, ,0.00, ,817, ,8.8, ,61.2, ,48, ,41.3, ,3.9, ,325, ,59.2, 
70,Manteca,San Joaquin Valley,5/1/2020,0900,122,0.02, ,0.00, ,1238, ,8.0, ,65.7, ,37, ,38.8, ,5.6, ,306, ,59.1, 
70,Manteca,San Joaquin Valley,5/1/2020,1000,122,0.02, ,0.00, ,1572, ,7.0, ,70.8, ,27, ,35.4, ,6.4, ,304, ,59.0, 
70,Manteca,San Joaquin Valley,5/1/2020,1100,122,0.03, ,0.00, ,1834, ,7.5, ,74.2, ,26, ,37.0, ,7.6, ,300, ,59.1, 
70,Manteca,San Joaquin Valley,5/1/2020,1200,122,0.03, ,0.00, ,1978, ,8.1, ,76.4, ,26, ,39.2, ,7.4, ,313, ,59.2, 
70,Manteca,San Joaquin Valley,5/1/2020,1300,122,0.03, ,0.00, ,1987, ,7.7, ,80.0, ,22, ,37.9, ,7.6, ,305, ,59.4, 
70,Manteca,San Joaquin Valley,5/1/2020,1400,122,0.03, ,0.00, ,1875, ,6.4, ,81.3, ,18, ,33.3, ,8.1, ,307, ,59.6, 
70,Manteca,San Joaquin Valley,5/1/2020,1500,122,0.03, ,0.00, ,1637, ,6.8, ,82.1, ,18, ,34.6, ,7.7, ,315, ,59.9, 
70,Manteca,San Joaquin Valley,5/1/2020,1600,122,0.02, ,0.00, ,1291, ,8.6, ,82.2, ,23, ,40.7, ,8.8, ,292, ,60.2, 
70,Manteca,San Joaquin Valley,5/1/2020,1700,122,0.02, ,0.00, ,894, ,8.7, ,80.3, ,25, ,41.0, ,10.6, ,261, ,60.4, 
70,Manteca,San Joaquin Valley,5/1/2020,1800,122,0.01, ,0.00, ,466, ,9.4, ,76.0, ,31, ,42.9, ,10.7, ,258, ,60.5, 
70,Manteca,San Joaquin Valley,5/1/2020,1900,122,0.01, ,0.00, ,104, ,10.0, ,70.7, ,39, ,44.6, ,11.0, ,256, ,60.7, 
70,Manteca,San Joaquin Valley,5/1/2020,2000,122,0.00, ,0.00, ,1, ,10.5, ,66.1, ,48, ,45.8, ,9.5, ,252, ,60.7, 
70,Manteca,San Joaquin Valley,5/2/2020,0500,123,0.00, ,0.00, ,0, ,12.6, ,54.4, ,87, ,50.6, ,3.7, ,281, ,59.9, 
70,Manteca,San Joaquin Valley,5/2/2020,0600,123,0.00, ,0.00, ,107, ,12.9, ,55.3, ,87, ,51.4, ,6.1, ,277, ,59.8, 
70,Manteca,San Joaquin Valley,5/2/2020,0700,123,0.00, ,0.00, ,367, ,13.4, ,59.0, ,79, ,52.4, ,8.2, ,277, ,59.7, 
70,Manteca,San Joaquin Valley,5/2/2020,0800,123,0.01, ,0.00, ,767, ,13.5, ,62.3, ,70, ,52.5, ,8.5, ,274, ,59.6, 
70,Manteca,San Joaquin Valley,5/2/2020,0900,123,0.02, ,0.00, ,1241, ,13.6, ,66.0, ,63, ,52.8, ,8.9, ,287, ,59.5, 
70,Manteca,San Joaquin Valley,5/2/2020,1000,123,0.02, ,0.00, ,1524, ,13.9, ,68.6, ,58, ,53.4, ,8.6, ,285, ,59.5, 
70,Manteca,San Joaquin Valley,5/2/2020,1100,123,0.03, ,0.00, ,1766, ,13.8, ,71.4, ,52, ,53.2, ,8.0, ,287, ,59.6, 
